Full Name,Email,Age,Zip,Phone,Gender,City,State,Password,Street,Major,Courses 1,Course 1 Name,Course 1 Details,Course 1 Type,Course 1 Section,Course 1 Section Limit,Course 1 HW_No,Course 1 HW_Details,Course 1 HW_Grade,Course 1 EXAM_No,Course 1 Exam_Details,Course 1 EXAM_Grade,Courses 2,Course 2 Name,Course 2 Details,Course 2 Type,Course 2 Section,Course 2 Section Limit,Course 2 HW_No,Course 2 HW_Details,Course 2 HW_Grade,Course 2 EXAM_No,Course 2 Exam_Details,Course 2 EXAM_Grade,Courses 3,Course 3 Name,Course 3 Details,Course 3 Type,Course 3 Section,Course 3 Section Limit,Course 3 HW_No,Course 3 HW_Details,Course 3 HW_Grade,Course 3 EXAM_No,Course 3 Exam_Details,Course 3 EXAM_Grade
Ima Hilll,ihi8422@lionstate.edu,22,80652,8096229224,F,Roggen,Colorado,d5mus3og,9498 Newport Ave.,CHEM,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,1.0,Closed book exam for 100 marks,100.0,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,1.0,Closed book exam for 100 marks,73.0,PHYS213,General Physics: Electricity and Magnetism,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,1.0,Closed book exam for 100 marks,83.0
Miss Ellsworth Goyette,mel3938@lionstate.edu,20,52776,5401056300,M,West Liberty,Iowa,61ip5i1a,266 Second Street,IST,EE311,Devices and Circuits I,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,1.0,Closed book exam for 100 marks,75.0,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,91.0,1.0,Closed book exam for 100 marks,80.0,CMPEN454,Fundamentals of Computer Vision,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,98.0,,,
Pasquale Ritchie,pri2221@lionstate.edu,21,52571,6892755465,M,Moravia,Iowa,09vhc6ga,232 W. Homewood Ave.,IST,CMPSC461,Programming Language Concepts,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,69.0,STAT415,Introduction to Mathematical Statistics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,65.0,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,90.0
Nicolas Kunde,nku3451@lionstate.edu,19,96132,7725602202,F,Termo,California,1vpw660p,83 Corona Street,CMPSC,EE211,Circuit Theory,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,1.0,Closed book exam for 100 marks,63.0,EE210,Continuous Time Linear Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,81.0,IST558,Data Mining 2,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,,,
Jaunita Zemlak,jze6681@lionstate.edu,22,20390,7301972665,M,Washington,District of Columbia,9z5xs7i4,6 Andover Dr.,CHEM,CMPSC475,Applications Programming,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,90.0,CMPSC431W,DBMS,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,63.0,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,100.0,1.0,Closed book exam for 100 marks,96.0
Jaunita Paucek,jpa6316@lionstate.edu,18,91106,6928175093,F,Pasadena,California,6f4h1qhw,7297 Applegate St.,CMPSC,ECON101,Principles of Economics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,89.0,1.0,Closed book exam for 100 marks,92.0,EE353,Applied Electromagnetics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,96.0,CHEM110,Environmental Chemistry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,63.0
Luisa Keebler,lke7167@lionstate.edu,21,94947,4026102639,F,Novato,California,i15k2z5c,251 West Sheffield Drive,STAT,MATH140,Calculus with Analytic Geometry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,65.0,EE353,Applied Electromagnetics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,63.0,1.0,Closed book exam for 100 marks,77.0,MATH141,Matrices,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,100.0,1.0,Closed book exam for 100 marks,90.0
Karli Streich DDS,kst7090@lionstate.edu,20,30339,7219545979,M,Atlanta,Georgia,a31lbs06,9236 El Dorado St.,EE,ECON101,Principles of Economics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,78.0,STAT415,Introduction to Mathematical Statistics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,70.0,1.0,Closed book exam for 100 marks,81.0,CMPSC448,Machine Learning and Algorithmic AI,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,84.0
Miss Stanton Hyatt,mst7516@lionstate.edu,20,32164,3254434862,F,Palm Coast,Florida,xbodkb1p,63 Lake Forest Road,PHYS,STAT415,Introduction to Mathematical Statistics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,68.0,CMPEN411,VLSI Digital Circuits,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,1.0,Closed book exam for 100 marks,81.0,CMPSC311,Introduction to Systems Programming,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,98.0
Isobel Hudson,ihu2594@lionstate.edu,20,81240,4118791845,F,Penrose,Colorado,c6m8qq2y,9408 Anderson Court,CMPSC,CMPSC431W,DBMS,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,97.0,CMPSC497,Introduction to Data Mining,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,,,,CMPSC475,Applications Programming,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,76.0
Shaun Marvin,sma8389@lionstate.edu,20,72852,8248844006,F,Oark,Arkansas,cyr5laao,8985 Cambridge Ave.,STAT,STAT318,Elementary Probability,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,89.0,CMPEN411,VLSI Digital Circuits,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,87.0,CSE583,Pattern Recognition,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,82.0
Justina Schuster,jsc7283@lionstate.edu,19,95337,5764153872,M,Manteca,California,juqc63zz,285 Dogwood Drive,DS,CMPSC475,Applications Programming,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,99.0,1.0,Closed book exam for 100 marks,76.0,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,69.0,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,1.0,Closed book exam for 100 marks,72.0
Manuela Blick,mbl5527@lionstate.edu,18,50231,3971228539,F,Randall,Iowa,iqt9wnaq,963 Court Road,STAT,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,85.0,CMPSC475,Applications Programming,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,63.0,1.0,Closed book exam for 100 marks,73.0,EE340,Design in Communications,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,,,
Reina McLaughlin Jr.,rmc1213@lionstate.edu,18,86042,2222860116,F,Polacca,Arizona,zibhv380,7313 Stillwater Lane,DS,CMPEN454,Fundamentals of Computer Vision,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,,,,EE311,Devices and Circuits I,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,92.0,1.0,Closed book exam for 100 marks,94.0,MATH141,Matrices,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,98.0,1.0,Closed book exam for 100 marks,68.0
Miss Gennaro Torphy,mge3655@lionstate.edu,18,46347,8236514298,F,Kouts,Indiana,hhoz4znw,863 Stillwater Road,EE,PHYS214,General Physics: Wave Motion and Quantum Physics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,77.0,1.0,Closed book exam for 100 marks,86.0,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,63.0,1.0,Closed book exam for 100 marks,82.0,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,71.0
Kaleb Carter MD,kca7584@lionstate.edu,20,80816,1302957415,M,Florissant,Colorado,o19o3kra,639 Princeton Rd.,CMPEN,EE211,Circuit Theory,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,64.0,CMPSC311,Introduction to Systems Programming,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,68.0,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,93.0
Reva Hirthe,rhi3330@lionstate.edu,18,47469,1933349133,F,West Baden Springs,,cz4rv678,141 Gulf Rd.,CSE,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,69.0,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,88.0,1.0,Closed book exam for 100 marks,61.0,CMPSC465,Data structures and algorithms,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,89.0
Jennie Haag,jha3634@lionstate.edu,19,85251,8728869936,M,Scottsdale,Arizona,e3gvatua,185 E. Trenton Street,IST,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,69.0,1.0,Closed book exam for 100 marks,99.0,CMPSC131,Programming and Computation,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,88.0,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,70.0
Mikayla Senger,mse3018@lionstate.edu,21,94107,9998992020,F,San Francisco,California,t97xa8jr,7313 Stillwater Lane,EE,ECON101,Principles of Economics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,91.0,EE210,Continuous Time Linear Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,1.0,Closed book exam for 100 marks,69.0,EE353,Applied Electromagnetics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,80.0
Janis Leffler,jle7688@lionstate.edu,20,91203,1936566044,M,Glendale,California,hza255xn,182 Spring Street,MATH,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,1.0,Closed book exam for 100 marks,87.0,EE340,Design in Communications,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,,,,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,64.0
Maverick Rempel,mre6097@lionstate.edu,22,52737,1968355972,F,Columbus City,Iowa,u50mz2ki,7195 North Canterbury Circle,MATH,PHYS213,General Physics: Electricity and Magnetism,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,1.0,Closed book exam for 100 marks,63.0,MATH141,Matrices,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,88.0,1.0,Closed book exam for 100 marks,64.0,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,1.0,Closed book exam for 100 marks,96.0
Myrtice Armstrong,mar7316@lionstate.edu,20,46324,1823054503,F,Hammond,Indiana,ql6wokcz,7313 Stillwater Lane,ECON,CMPEN270,Embedded Systems Design,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,100.0,1.0,Closed book exam for 100 marks,60.0,EE353,Applied Electromagnetics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,77.0,CMPEN411,VLSI Digital Circuits,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,70.0,1.0,Closed book exam for 100 marks,64.0
Roy Boehm,rbo4096@lionstate.edu,22,62358,3442466276,F,Niota,Illinois,6ch26zsv,91 S. Gartner Street,CMPEN,CMPEN351,Microprocessors,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,98.0,STAT415,Introduction to Mathematical Statistics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,80.0,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,80.0
Jackie Considine,jco8261@lionstate.edu,19,50851,7377371515,F,Lenox,Iowa,zrziiod8,91 S. Gartner Street,CMPSC,PHYS211,Thermal Physics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,68.0,CMPSC465,Data structures and algorithms,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,63.0,1.0,Closed book exam for 100 marks,100.0,CMPEN454,Fundamentals of Computer Vision,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,,,
Kristofer Gusikowski,kgu3649@lionstate.edu,21,92008,7353272986,M,Carlsbad,California,c6zw7xeq,9408 Anderson Court,DS,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,94.0,1.0,Closed book exam for 100 marks,68.0,IST128,Introduction to Python,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,1.0,Closed book exam for 100 marks,88.0,ECON101,Principles of Economics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,82.0
Letitia Graham,lgr2017@lionstate.edu,19,61274,6673176141,F,Osco,Illinois,td7qer7k,3 North Linden Ave.,STAT,CMPSC131,Programming and Computation,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,70.0,1.0,Closed book exam for 100 marks,61.0,CMPSC465,Data structures and algorithms,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,92.0,1.0,Closed book exam for 100 marks,65.0,MATH230,Ordinary and Partial Differential Equations,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,99.0
Skye Graham,sgr6837@lionstate.edu,22,95425,8296562358,F,Cloverdale,California,885lnlgn,266 Second Street,CMPEN,CMPSC497,Introduction to Data Mining,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,69.0,,,,CHEM112,Chemical Principles,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,67.0,PHYS211,Thermal Physics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,72.0,1.0,Closed book exam for 100 marks,76.0
Thora Predovic Sr.,tpr4269@lionstate.edu,19,47434,1404427899,F,Harrodsburg,Indiana,3w4nls9b,285 Dogwood Drive,CMPSC,CMPEN441,Operating Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,80.0,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,80.0,EE340,Design in Communications,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,,,
Suzanne Botsford,sbo2144@lionstate.edu,19,85192,9329543320,F,Winkelman,Arizona,9yzoqecx,3 North Linden Ave.,CMPEN,IST128,Introduction to Python,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,68.0,PHYS212,Solid State Physics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,83.0,EE210,Continuous Time Linear Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,92.0
Mr. Hallie Crooks,mha5312@lionstate.edu,18,30755,9015584978,M,Tunnel Hill,Georgia,ldrwndyy,78 South Brewery Ave.,ECON,CMPSC497,Introduction to Data Mining,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,,,,PHYS211,Thermal Physics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,60.0,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,89.0,1.0,Closed book exam for 100 marks,62.0
Mrs. Marlee Ward,mma8341@lionstate.edu,21,6066,9987860142,M,Vernon Rockville,Connecticut,5zsqvzsa,7195 North Canterbury Circle,CMPSC,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,91.0,MATH141,Matrices,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,78.0,PHYS213,General Physics: Electricity and Magnetism,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,91.0
Theresa Glover,tgl2369@lionstate.edu,21,80615,9212714963,M,Eaton,Colorado,mujxipgm,708 York Dr.,STAT,CMPEN441,Operating Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,98.0,CHEM110,Environmental Chemistry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,79.0,CMPSC497,Introduction to Data Mining,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,77.0,,,
Meredith Kuhlman DVM,mku3151@lionstate.edu,22,62888,9837771786,M,Tamaroa,Illinois,5tplvmde,336 Myrtle Street,MATH,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,88.0,1.0,Closed book exam for 100 marks,70.0,EE340,Design in Communications,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,,,,EE353,Applied Electromagnetics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,82.0
Santino Altenwerth,sal4395@lionstate.edu,21,83616,1721865840,F,Eagle,Idaho,h4hxgcq7,8378 West Pulaski Ave.,MATH,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,72.0,1.0,Closed book exam for 100 marks,97.0,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,91.0,CMPSC461,Programming Language Concepts,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,89.0,1.0,Closed book exam for 100 marks,98.0
Kiley Nienow PhD,kni2503@lionstate.edu,20,92624,7972195124,F,Capistrano Beach,California,56evzicb,285 Dogwood Drive,MATH,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,92.0,CMPEN441,Operating Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,1.0,Closed book exam for 100 marks,88.0,EE353,Applied Electromagnetics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,61.0
Joe Kirlin DDS,jki2803@lionstate.edu,21,50654,5541738975,M,Masonville,Iowa,8axiqzsa,87 Vermont St.,CSE,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,88.0,1.0,Closed book exam for 100 marks,61.0,PHYS213,General Physics: Electricity and Magnetism,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,1.0,Closed book exam for 100 marks,92.0,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,93.0
Malvina DuBuque,mdu3807@lionstate.edu,18,81332,5749240295,F,Rico,Colorado,7zez3zsk,88 Harrison Street,ECON,CMPSC448,Machine Learning and Algorithmic AI,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,95.0,CMPEN270,Embedded Systems Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,81.0,STAT415,Introduction to Mathematical Statistics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,75.0
Lucius Lakin,lla3945@lionstate.edu,20,32359,3403273193,F,Steinhatchee,Florida,yt1zlei9,7130 Longfellow Dr.,PHYS,CMPSC132,Programming and Computation II,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,98.0,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,81.0,ECON101,Principles of Economics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,1.0,Closed book exam for 100 marks,94.0
Mariane Reilly,mre5662@lionstate.edu,22,52569,1094533896,M,Melrose,Iowa,1c8zbevj,453 North Elm Dr.,IST,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,87.0,CHEM112,Chemical Principles,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,72.0,1.0,Closed book exam for 100 marks,98.0,DS220,Data Modelling,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,1.0,Closed book exam for 100 marks,68.0
